first_line,visible_string_en,future_es_translation,context_note
1844,Population epidemiological simulator with COVID reference comparator,,extracted from UI/report zones; review manually
1845,"Configurable simulation against a COVID reference - R/Shiny tool for teaching, planning and visualization",,extracted from UI/report zones; review manually
1845,color: #7F8C8D;,,extracted from UI/report zones; review manually
1851,Simulation parameters,,extracted from UI/report zones; review manually
1851,color: #34495E; font-weight: bold;,,extracted from UI/report zones; review manually
1854,Detail level:,,extracted from UI/report zones; review manually
1856,Guided basic mode,,extracted from UI/report zones; review manually
1857,Complete technical mode,,extracted from UI/report zones; review manually
1862,input.active_scenario_mode == 'complete',,extracted from UI/report zones; review manually
1863,Show technical validation options,,extracted from UI/report zones; review manually
1865,mode-box,,extracted from UI/report zones; review manually
1867,input.active_scenario_mode == 'guided',,extracted from UI/report zones; review manually
1869,advanced-note,,extracted from UI/report zones; review manually
1869,"Shows only the main scenario controls. Seed, calibration, air traffic, robustness and technical controls remain in complete mode.",,extracted from UI/report zones; review manually
1874,"Shows all technical controls: calibration, mobility, seed, robustness, dynamic parameters and diagnostics.",,extracted from UI/report zones; review manually
1877,workflow-guide-box,,extracted from UI/report zones; review manually
1880,Suggested order in basic mode,,extracted from UI/report zones; review manually
1882,Choose the initial country or use the random-country button.,,extracted from UI/report zones; review manually
1883,"Set initial expansion, exposed phase, active duration and average mortality.",,extracted from UI/report zones; review manually
1884,Choose whether advantage variants and containment measures are included.,,extracted from UI/report zones; review manually
1885,Set the simulation horizon and run the scenario.,,extracted from UI/report zones; review manually
1886,"Explore the map, curves and comparator-based results.",,extracted from UI/report zones; review manually
1891,Suggested order in complete mode,,extracted from UI/report zones; review manually
1893,"Configure engine, age, seed and mobility when technical reproducibility is needed.",,extracted from UI/report zones; review manually
1894,Set the pathogen-like scenario and dynamic parameters.,,extracted from UI/report zones; review manually
1895,Enable calibration or robustness only if you will interpret diagnostics.,,extracted from UI/report zones; review manually
1896,"Run the scenario and review maps, curves, reports and warnings.",,extracted from UI/report zones; review manually
1897,Use copyable reports to compare runs.,,extracted from UI/report zones; review manually
1901,fixed-ref-box,,extracted from UI/report zones; review manually
1902,COVID comparator,,extracted from UI/report zones; review manually
1902,color: #27AE60; font-weight: bold;,,extracted from UI/report zones; review manually
1907,Reference comparator:,,extracted from UI/report zones; review manually
1909,Automatic from active model,,extracted from UI/report zones; review manually
1910,Basic Omicron SIRD RDS,,extracted from UI/report zones; review manually
1911,Age-adjusted Omicron SIRD RDS,,extracted from UI/report zones; review manually
1912,Age-adjusted Omicron SEIRD RDS,,extracted from UI/report zones; review manually
1918,small-note,,extracted from UI/report zones; review manually
1918,This comparator represents a theoretical SEIRD scenario with age effects applied to the model and international passenger traffic between countries. It describes the plausible model-based trajectory if the first variant had been Omicron and no containment measures had been applied at any point.,,extracted from UI/report zones; review manually
